City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
304,Masuguru,-11.3667,38.4167,64.2,88,0,2.84,clear sky
305,Almeirim,-1.5233,-52.5817,75.38,87,52,2.71,broken clouds
306,Kloulklubed,7.0419,134.2556,82.9,73,87,1.61,overcast clouds
307,Muros,42.7762,-9.0603,66.09,81,5,10.13,clear sky
308,Ripoll,42.2006,2.1903,70.43,80,0,4.21,clear sky
309,Edendale,-29.6528,30.3147,50.74,86,5,4.7,clear sky
310,Navahrudak,53.6,25.8333,48.4,91,0,5.86,clear sky
311,Igarka,67.4667,86.5833,51.85,95,100,8.88,overcast clouds
312,Pervomayskiy,53.2485,40.2871,52.45,98,100,5.32,light rain
313,Syava,58.0146,46.3222,53.64,86,73,3.69,broken clouds
314,Antofagasta,-23.65,-70.4,56.48,81,100,1.5,overcast clouds
315,Geraldton,-28.7667,114.6,63.01,94,100,4.61,moderate rain
316,Guanica,17.9716,-66.908,84.06,87,50,7.74,scattered clouds
317,San Martin,-33.081,-68.4681,46.94,36,0,3.89,clear sky
318,Mawlamyine,16.4914,97.6256,78.67,89,100,4.81,moderate rain
319,Egvekinot,66.3167,-179.1667,43.88,53,71,5.66,broken clouds
320,Tres Arroyos,-38.3739,-60.2798,55.2,56,7,16.02,clear sky
321,Opuwo,-18.0607,13.84,54.88,36,0,5.66,clear sky
322,Hualmay,-11.0964,-77.6139,61.79,83,55,9.73,broken clouds
323,Lompoc,34.6391,-120.4579,85.78,72,0,10.36,clear sky
324,Smidovich,48.6,133.8167,67.53,83,100,5.77,overcast clouds
325,Mwanza,-2.5167,32.9,65.14,62,0,11.5,clear sky
326,Dimbokro,6.6451,-4.7048,69.84,85,97,3.51,overcast clouds
327,Tanggu,39.0211,117.6469,80.56,58,1,3.76,clear sky
328,Ankazobe,-18.3167,47.1167,52.56,80,65,15.32,broken clouds
329,Shumyachi,53.8583,32.4242,58.14,65,92,13.82,overcast clouds
330,Bahia Blanca,-38.7196,-62.2724,57.38,45,80,15.23,broken clouds
331,Elat,29.5581,34.9482,82.24,61,0,6.91,clear sky
332,Gimli,50.6336,-96.9907,70.34,66,0,17.0,clear sky
333,Zharkent,44.1628,80.0,81.18,18,0,4.61,clear sky
334,Bilma,18.6853,12.9164,88.18,36,55,6.62,broken clouds
